config.browser	config.browser_version	config.os	config.os_version	config.device	headers.host	headers.user-agent	headers.accept	headers.accept-language	headers.accept-encoding	headers.content-length	headers.content-type	headers.connection	headers.cookie	headers.referer	headers.cache-control	headers.origin	headers.x-requested-with	headers.accept-charset	headers.pragma	headers.ua-cpu	headers.x-forwarded-for	body.blocked-uri	body.document-uri	body.effective-directive	body.original-policy	body.referrer	body.status-code	body.violated-directive	body.source-file	body.line-number	body.column-number	body.request	body.request-headers	body.document-url	body.script-sample
iphone		ios	6.1	----	45.55.25.245:8123	Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25	*/*	en-us	gzip, deflate	211	application/x-www-form-urlencoded	keep-alive	snickerdoodle=cinnamon	http://45.55.25.245:8123/csp?os=ios&device=iPhone%205&browser_version=&browser=iphone&os_version=6.1	----	null	----	----	----	----	185.12.12.10	----	----	----	----	----	----	----	----	----	----	----	----	----	----
iphone		ios	6.1	----	45.55.25.245:8123	Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25	*/*	en-us	gzip, deflate	211	application/x-www-form-urlencoded	keep-alive	snickerdoodle=cinnamon	http://45.55.25.245:8123/csp?os=ios&device=iPhone%205&browser_version=&browser=iphone&os_version=6.1	----	null	----	----	----	----	185.12.12.10	----	----	----	----	----	----	----	----	----	----	----	----	----	----
iphone		ios	6.1	----	45.55.25.245:8123	Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25	*/*	en-us	gzip, deflate	211	application/x-www-form-urlencoded	keep-alive	snickerdoodle=cinnamon	http://45.55.25.245:8123/csp?os=ios&device=iPhone%205&browser_version=&browser=iphone&os_version=6.1	----	null	----	----	----	----	185.12.12.10	----	----	----	----	----	----	----	----	----	----	----	----	----	----
ipad		ios	7.0	----	45.55.25.245:8123	Mozilla/5.0 (iPad; CPU OS 7_1_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D201 Safari/9537.53	*/*	en-us	gzip, deflate	891	application/json	keep-alive	snickerdoodle=cinnamon	http://45.55.25.245:8123/csp?os=ios&device=iPad%20Air&browser_version=&browser=ipad&os_version=7.0	----	null	----	----	----	----	185.12.12.10	http://raw.githubusercontent.com	http://45.55.25.245:8123/csp?os=ios&device=iPad%20Air&browser_version=&browser=ipad&os_version=7.0	----	default-src https://45.55.25.245:8123/; child-src https://45.55.25.245:8123/; connect-src https://45.55.25.245:8123/; font-src https://45.55.25.245:8123/; img-src https://45.55.25.245:8123/; media-src https://45.55.25.245:8123/; object-src https://45.55.25.245:8123/; script-src https://45.55.25.245:8123/; style-src https://45.55.25.245:8123/; form-action https://45.55.25.245:8123/; frame-ancestors 'none'; plugin-types 'none'; report-uri http://45.55.25.245:8123/csp-report?os=ios&device=iPad%20Air&browser_version=&browser=ipad&os_version=7.0	http://:45671/postUDID/b881fc8a38f3d17659515b84bb05be6e87f43ad2/true	----	script-src https://45.55.25.245:8123/	----	----	----	----	----	----	----
ipad		ios	7.0	----	45.55.25.245:8123	Mozilla/5.0 (iPad; CPU OS 7_1_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D201 Safari/9537.53	*/*	en-us	gzip, deflate	885	application/json	keep-alive	snickerdoodle=cinnamon	http://45.55.25.245:8123/csp?os=ios&device=iPad%20Air&browser_version=&browser=ipad&os_version=7.0	----	null	----	----	----	----	185.12.12.10	http://farm8.staticflickr.com	http://45.55.25.245:8123/csp?os=ios&device=iPad%20Air&browser_version=&browser=ipad&os_version=7.0	----	default-src https://45.55.25.245:8123/; child-src https://45.55.25.245:8123/; connect-src https://45.55.25.245:8123/; font-src https://45.55.25.245:8123/; img-src https://45.55.25.245:8123/; media-src https://45.55.25.245:8123/; object-src https://45.55.25.245:8123/; script-src https://45.55.25.245:8123/; style-src https://45.55.25.245:8123/; form-action https://45.55.25.245:8123/; frame-ancestors 'none'; plugin-types 'none'; report-uri http://45.55.25.245:8123/csp-report?os=ios&device=iPad%20Air&browser_version=&browser=ipad&os_version=7.0	http://:45671/postUDID/b881fc8a38f3d17659515b84bb05be6e87f43ad2/true	----	img-src https://45.55.25.245:8123/	----	----	----	----	----	----	----
ipad		ios	7.0	----	45.55.25.245:8123	Mozilla/5.0 (iPad; CPU OS 7_1_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D201 Safari/9537.53	*/*	en-us	gzip, deflate	889	application/json	keep-alive	snickerdoodle=cinnamon	http://45.55.25.245:8123/csp?os=ios&device=iPad%20Air&browser_version=&browser=ipad&os_version=7.0	----	null	----	----	----	----	185.12.12.10	http://45.55.25.245:8123/test.jpg	http://45.55.25.245:8123/csp?os=ios&device=iPad%20Air&browser_version=&browser=ipad&os_version=7.0	----	default-src https://45.55.25.245:8123/; child-src https://45.55.25.245:8123/; connect-src https://45.55.25.245:8123/; font-src https://45.55.25.245:8123/; img-src https://45.55.25.245:8123/; media-src https://45.55.25.245:8123/; object-src https://45.55.25.245:8123/; script-src https://45.55.25.245:8123/; style-src https://45.55.25.245:8123/; form-action https://45.55.25.245:8123/; frame-ancestors 'none'; plugin-types 'none'; report-uri http://45.55.25.245:8123/csp-report?os=ios&device=iPad%20Air&browser_version=&browser=ipad&os_version=7.0	http://:45671/postUDID/b881fc8a38f3d17659515b84bb05be6e87f43ad2/true	----	img-src https://45.55.25.245:8123/	----	----	----	----	----	----	----
ipad		ios	7.0	----	45.55.25.245:8123	Mozilla/5.0 (iPad; CPU OS 7_1_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D201 Safari/9537.53	*/*	en-us	gzip, deflate	877	application/json	keep-alive	snickerdoodle=cinnamon	http://45.55.25.245:8123/csp?os=ios&device=iPad%20Air&browser_version=&browser=ipad&os_version=7.0	----	null	----	----	----	----	185.12.12.10	http://google.com	http://45.55.25.245:8123/csp?os=ios&device=iPad%20Air&browser_version=&browser=ipad&os_version=7.0	----	default-src https://45.55.25.245:8123/; child-src https://45.55.25.245:8123/; connect-src https://45.55.25.245:8123/; font-src https://45.55.25.245:8123/; img-src https://45.55.25.245:8123/; media-src https://45.55.25.245:8123/; object-src https://45.55.25.245:8123/; script-src https://45.55.25.245:8123/; style-src https://45.55.25.245:8123/; form-action https://45.55.25.245:8123/; frame-ancestors 'none'; plugin-types 'none'; report-uri http://45.55.25.245:8123/csp-report?os=ios&device=iPad%20Air&browser_version=&browser=ipad&os_version=7.0	http://:45671/postUDID/b881fc8a38f3d17659515b84bb05be6e87f43ad2/true	----	default-src https://45.55.25.245:8123/	----	----	----	----	----	----	----
ipad		ios	7.0	----	45.55.25.245:8123	Mozilla/5.0 (iPad; CPU OS 7_1_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D201 Safari/9537.53	*/*	en-us	gzip, deflate	890	application/json	keep-alive	snickerdoodle=cinnamon	http://45.55.25.245:8123/csp?os=ios&device=iPad%20Air&browser_version=&browser=ipad&os_version=7.0	----	null	----	----	----	----	185.12.12.10	http://raw.githubusercontent.com	http://45.55.25.245:8123/csp?os=ios&device=iPad%20Air&browser_version=&browser=ipad&os_version=7.0	----	default-src https://45.55.25.245:8123/; child-src https://45.55.25.245:8123/; connect-src https://45.55.25.245:8123/; font-src https://45.55.25.245:8123/; img-src https://45.55.25.245:8123/; media-src https://45.55.25.245:8123/; object-src https://45.55.25.245:8123/; script-src https://45.55.25.245:8123/; style-src https://45.55.25.245:8123/; form-action https://45.55.25.245:8123/; frame-ancestors 'none'; plugin-types 'none'; report-uri http://45.55.25.245:8123/csp-report?os=ios&device=iPad%20Air&browser_version=&browser=ipad&os_version=7.0	http://:45671/postUDID/b881fc8a38f3d17659515b84bb05be6e87f43ad2/true	----	style-src https://45.55.25.245:8123/	----	----	----	----	----	----	----
ipad		ios	7.0	----	45.55.25.245:8123	Mozilla/5.0 (iPad; CPU OS 7_1_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D201 Safari/9537.53	*/*	en-us	gzip, deflate	858	application/json	keep-alive	snickerdoodle=cinnamon	http://45.55.25.245:8123/csp?os=ios&device=iPad%20Air&browser_version=&browser=ipad&os_version=7.0	----	null	----	----	----	----	185.12.12.10		http://45.55.25.245:8123/csp?os=ios&device=iPad%20Air&browser_version=&browser=ipad&os_version=7.0	----	default-src https://45.55.25.245:8123/; child-src https://45.55.25.245:8123/; connect-src https://45.55.25.245:8123/; font-src https://45.55.25.245:8123/; img-src https://45.55.25.245:8123/; media-src https://45.55.25.245:8123/; object-src https://45.55.25.245:8123/; script-src https://45.55.25.245:8123/; style-src https://45.55.25.245:8123/; form-action https://45.55.25.245:8123/; frame-ancestors 'none'; plugin-types 'none'; report-uri http://45.55.25.245:8123/csp-report?os=ios&device=iPad%20Air&browser_version=&browser=ipad&os_version=7.0	http://:45671/postUDID/b881fc8a38f3d17659515b84bb05be6e87f43ad2/true	----	media-src https://45.55.25.245:8123/	----	----	----	----	----	----	----
ipad		ios	7.0	----	45.55.25.245:8123	Mozilla/5.0 (iPad; CPU OS 7_1_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D201 Safari/9537.53	*/*	en-us	gzip, deflate	860	application/json	keep-alive	snickerdoodle=cinnamon	http://45.55.25.245:8123/csp?os=ios&device=iPad%20Air&browser_version=&browser=ipad&os_version=7.0	----	null	----	----	----	----	185.12.12.10	data	http://45.55.25.245:8123/csp?os=ios&device=iPad%20Air&browser_version=&browser=ipad&os_version=7.0	----	default-src https://45.55.25.245:8123/; child-src https://45.55.25.245:8123/; connect-src https://45.55.25.245:8123/; font-src https://45.55.25.245:8123/; img-src https://45.55.25.245:8123/; media-src https://45.55.25.245:8123/; object-src https://45.55.25.245:8123/; script-src https://45.55.25.245:8123/; style-src https://45.55.25.245:8123/; form-action https://45.55.25.245:8123/; frame-ancestors 'none'; plugin-types 'none'; report-uri http://45.55.25.245:8123/csp-report?os=ios&device=iPad%20Air&browser_version=&browser=ipad&os_version=7.0	http://:45671/postUDID/b881fc8a38f3d17659515b84bb05be6e87f43ad2/true	----	img-src https://45.55.25.245:8123/	----	----	----	----	----	----	----
